SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	MVS-40	Solibacterales	Sva0725	Actinomycetales	Coriobacteriales	Bacteroidales	Flavobacteriales	Saprospirales	Caldilineales	WCHB1-50	SM1D11	YS2	Deferribacterales	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Erysipelotrichales	RF32	Rhizobiales	Burkholderiales	Desulfovibrionales	Myxococcales	Spirobacillales	Thermodesulfobacteriales	Campylobacterales	Alteromonadales	Enterobacteriales	Legionellales	Pasteurellales	Thiotrichales	Xanthomonadales	CW040	Anaeroplasmatales	RF39	ML615J-28	Verrucomicrobiales	Arctic97B-4	Ucn15732
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000159015376787	0.000111310763751	6.36061507148e-05	0.000810978421613	0.00136753224037	0.42690858206	0.00839601189435	0.00073147073322	7.95076883935e-05	0.000222621527502	0.000286227678216	0.0147248238905	0.00422980902253	0.000190818452144	0.00257604910395	0.0	0.443716507386	0.00214670758662	0.000492947668039	0.000381636904289	6.36061507148e-05	0.010097476426	0.00136753224037	3.18030753574e-05	0.000159015376787	6.36061507148e-05	0.000477046130361	0.00106540302447	0.00147884300412	0.000174916914466	0.00106540302447	4.77046130361e-05	0.045430693148	0.0180323437276	0.00036573536661	0.000477046130361	0.0101610825767	1.59015376787e-05	6.36061507148e-05
2SM.DN	DN	Normal	Normal	12	DN_12S	0.000461129496013	8.1375793414e-05	0.000122063690121	0.000732382140726	0.00316009331091	0.309322953399	0.00580480659686	0.000339065805892	1.35626322357e-05	5.42505289427e-05	1.35626322357e-05	0.00134270059133	0.0278033960831	0.000325503173656	0.0235311669289	1.35626322357e-05	0.459759670157	0.00321434383985	0.00263115065372	0.000393316334834	0.000257690012478	0.0124776216568	0.000678131611783	8.1375793414e-05	8.1375793414e-05	9.49384256497e-05	0.000366191070363	0.00100363478544	0.00162751586828	0.000284815276949	0.00166820376499	6.78131611783e-05	0.0157190907611	0.0211712689199	0.000176314219064	0.000447566863777	0.102587750231	0.000244127380242	0.000135626322357
2i	Inicial	Normal	Normal	0	Inicial	0.000142869899098	7.14349495491e-05	5.35762121618e-05	0.000482185909456	0.00217876596125	0.375908563265	0.00748281096526	0.000696490758103	8.92936869363e-05	7.14349495491e-05	0.000125011161711	0.00880435753192	0.000642914545942	0.000214304848647	0.0261809090097	0.0	0.318242700241	0.00773283328869	1.78587373873e-05	0.000267881060809	0.00298240914367	0.00232163586034	0.00058933833378	0.000107152424324	8.92936869363e-05	7.14349495491e-05	0.000214304848647	0.000696490758103	0.000714349495491	0.000125011161711	0.000875078131976	1.78587373873e-05	0.00650058040897	0.0128940083936	0.000285739798196	0.000321457272971	0.219430306277	0.000410750959907	0.000178587373873
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000837769438869	1.74535299764e-05	1.74535299764e-05	0.000349070599529	0.000872676498822	0.406318177851	0.00771446024959	0.000506152369317	0.000104721179859	5.23605899293e-05	3.49070599529e-05	0.00260057596649	0.0788899554935	0.000314163539576	0.0704599005149	0.0	0.351932978445	0.00223405183698	0.000942490618728	0.000296710009599	0.0	0.0357448293917	0.00122174709835	0.000122174709835	0.000157081769788	6.98141199058e-05	0.000122174709835	0.000925037088751	0.000680687669081	6.98141199058e-05	0.000628327079152	0.0	0.0317479710271	0.0	0.00171044593769	0.0	0.0	1.74535299764e-05	6.98141199058e-05
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000176619156114	8.83095780568e-05	7.06476624455e-05	0.000370900227839	0.00210176795775	0.454229145693	0.00960808209258	0.000441547890284	7.06476624455e-05	7.06476624455e-05	0.0	0.00436249315601	0.00785955244706	0.00012363340928	0.0409226584715	0.0	0.369805189071	0.00038856214345	0.000300252565393	0.000211942987336	0.0	0.0188099401261	0.00125399600841	3.53238312227e-05	8.83095780568e-05	0.00012363340928	0.00012363340928	0.000759462371289	0.000653490877621	0.000176619156114	0.000724138540066	3.53238312227e-05	0.081757007365	1.76619156114e-05	0.00137762941769	1.76619156114e-05	8.83095780568e-05	0.0	5.29857468341e-05
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000235786032035	4.71572064071e-05	3.14381376047e-05	0.000361538582454	0.00149331153622	0.407674049389	0.00724649071789	0.000471572064071	4.71572064071e-05	0.000188628825628	4.71572064071e-05	0.00421271043903	0.0195545215901	0.000785953440118	0.0314066994671	0.0	0.463209519468	0.00161906408664	0.00119464922898	0.000157190688024	0.0	0.0238772655108	0.00139899712341	4.71572064071e-05	7.85953440118e-05	4.71572064071e-05	0.000110033481617	0.000974582265747	0.000927425059339	9.43144128142e-05	0.000660200889699	0.0	0.0297404781741	4.71572064071e-05	0.000487291132873	0.0	3.14381376047e-05	0.0	0.000110033481617
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00156270347702	0.000162781612189	6.51126448756e-05	0.00110691496289	0.00319051959891	0.258887876026	0.00520901159005	0.00014650345097	3.25563224378e-05	6.51126448756e-05	3.25563224378e-05	0.000537179320224	0.0906205235057	9.76689673135e-05	0.0018068758953	0.0	0.561059382732	0.00139992186483	1.62781612189e-05	0.000406954030473	0.000162781612189	0.0184268784998	0.000911577028259	3.25563224378e-05	8.13908060945e-05	6.51126448756e-05	0.000634848287537	0.00153014715458	0.00200221382993	0.000309285063159	0.00167665060555	4.88344836567e-05	0.0364956374528	0.00879020705821	0.000325563224378	0.000179059773408	3.25563224378e-05	0.0	4.88344836567e-05
8SM.DN	DN	Normal	Normal	12	DN_12S	0.000306210505804	2.78373187095e-05	2.78373187095e-05	0.00050107173677	0.00208779890321	0.396319906467	0.0119143724076	0.00133619129805	5.56746374189e-05	2.78373187095e-05	8.35119561284e-05	0.00492720541157	0.00192077499095	0.000668095649027	0.0981543857696	0.0	0.226456587701	0.0175653481057	0.00172591375999	0.000250535868385	0.00361885143223	0.00247752136514	0.000751607605155	0.000389722461932	5.56746374189e-05	0.000194861230966	0.000473234418061	0.000946468836122	0.000361885143223	0.000222698549676	0.000584583692899	2.78373187095e-05	0.00208779890321	0.0226317401108	0.000361885143223	0.000668095649027	0.197533613562	0.000389722461932	0.000111349274838
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.0016578749058	2.51193167546e-05	0.0	0.000452147701583	0.000527505651846	0.333182617433	0.0063049485054	0.000502386335092	0.000100477267018	0.0	0.0	0.00125596583773	0.141899020347	5.02386335092e-05	0.0118060788747	0.0	0.414745038935	0.000477267018337	0.00135644310475	0.000226073850791	0.0	0.0393117307209	0.00148203968852	5.02386335092e-05	0.000150715900528	0.0	7.53579502638e-05	0.000828937452901	0.000678221552374	0.000226073850791	0.00060286360211	0.0	0.0397387591058	0.0	2.51193167546e-05	0.0	0.0	0.0	0.000100477267018
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00015536911262	2.21955875172e-05	8.87823500688e-05	0.00047720513162	0.00166466906379	0.34091312647	0.00549340791051	0.000510498512896	8.87823500688e-05	3.32933812758e-05	1.10977937586e-05	0.000233053668931	0.0109091312647	0.00015536911262	0.0404403604563	0.0	0.526401651352	0.000843432325654	0.000133173525103	0.000244151462689	0.0	0.0347915834332	0.00182003817641	0.000110977937586	0.000122075731345	5.5488968793e-05	0.00015536911262	0.000932214675722	0.00127624628224	7.76845563102e-05	0.00100989923203	0.0	0.0284658409908	0.000122075731345	0.000166466906379	3.32933812758e-05	4.43911750344e-05	0.0	6.65867625516e-05
