SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	S24-7	Ruminococcaceae	Lachnospiraceae	Rikenellaceae	Bacteroidaceae	Lactobacillaceae	Verrucomicrobiaceae	Odoribacteraceae	F16	Deferribacteraceae	Prevotellaceae	Desulfovibrionaceae	Clostridiaceae	Others
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.228298376	0.11199453	0.10216738	0.075325584	0.020799211	0.002512443	0.010161083	0.045907739	0.043602016	0.004229809	0.038481721	0.010097476	0.002305723	0.053747197
2SM.DN	DN	Normal	Normal	12	DN_12S	0.20177128	0.077212065	0.123447079	0.04080996	0.007920577	0.023463354	0.10258775	0.020181197	0.015040959	0.027803396	0.027301579	0.012477622	0.000311941	0.053368958
2i	Inicial	Normal	Normal	0	Inicial	0.219858916	0.072810072	0.086114832	0.049915171	0.030359854	0.026091615	0.219430306	0.027573891	0.006214841	0.000642915	0.024127154	0.002321636	0.001196535	0.049111528
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.112994153	0.110149228	0.044489048	0.064595514	0.100724321	0.060738284	0	0.041504494	0.030421503	0.078889955	0.000645781	0.035744829	0.026843529	0.044663583
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.121849556	0.110846182	0.053180028	0.077005952	0.180045568	0.017449973	8.83096E-05	0.024037867	0.078825129	0.007859552	0.00091842	0.01880994	1.76619E-05	0.06075699
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.142399044	0.157882327	0.058254869	0.05520537	0.105899367	0.023672918	3.14381E-05	0.026958203	0.028498672	0.019554522	0.000613044	0.023877266	0.000298662	0.035226433
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.141799062	0.118163172	0.167779008	0.049876286	0.010743586	0.00177432	3.25563E-05	0.027672874	0.035193385	0.090620524	0.015431697	0.018426878	0.0014162	0.039946608
8SM.DN	DN	Normal	Normal	12	DN_12S	0.290148373	0.066113632	0.068173594	0.056648944	0.010021435	0.097736826	0.197533614	0.007209866	0.00197645	0.001920775	0.018762353	0.002477521	0.000751608	0.071820282
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.112660136	0.187967847	0.052549611	0.054232605	0.10035167	0.004722432	0	0.027028385	0.0382316	0.14189902	0.000502386	0.039311731	0.000527506	0.033232856
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.126170817	0.224574954	0.068273627	0.049684823	0.087517202	0.022439739	4.43912E-05	0.026079815	0.027555822	0.010909131	0.00055489	0.034791583	0.000366227	0.045512052
