SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	Actinobaculum	Varibaculum	Brevibacterium	Nocardia	Adlercreutzia	5-7N15	Bacteroides	Candidatus Azobacteroides	Paludibacter	Parabacteroides	Prevotella	AF12	Blvii28	PW3	Rikenella	Butyricimonas	Odoribacter	CF231	Paraprevotella	Prevotella	Fluviicola	Flavobacterium	Psychroflexus	Caldilinea	Mucispirillum	Cohnella	Staphylococcus	Enterococcus	Lactobacillus	Lactococcus	Turicibacter	Alkaliphilus	Candidatus Arthromitus	Clostridiisalibacter	Clostridium	SMB53	Dehalobacterium	Pseudoramibacter_Eubacterium	Lutispora	Anaerostipes	Blautia	Butyrivibrio	Coprococcus	Dorea	Lachnobacterium	Moryella	Roseburia	Syntrophococcus	Ruminococcus	Oscillospira	Ruminococcus	Syntrophomonas	Fusibacter	Mogibacterium	Tepidimicrobium	WAL_1855D	Allobaculum	Coprobacillus	Sutterella	Bilophila	Desulfovibrio	Sulfurimonas	Haemophilus	Anaeroplasma	Akkermansia
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000301432	2.51E-05	2.51E-05	0.000100477	0.000477267	0	0.100276312	0	0.001557398	0.002511932	0.000502386	0.021803567	0.000301432	0.000125597	0.000251193	0.000577744	0.026450641	2.51E-05	0.000602864	0	2.51E-05	0.005400653	0	0.000100477	0.14189902	0	5.02E-05	0.000703341	0.004722432	0.006380306	0	2.51E-05	0.00035167	0	0	0	0.002084903	0.000100477	0.001934187	0	0.000226074	0.000401909	0.004596835	0.00110525	0.001984426	0	0.00148204	0.000125597	0.010901783	0.089675961	0.041070083	0	0.000477267	7.54E-05	0.000301432	5.02E-05	2.51E-05	2.51E-05	0	0.024868124	0.007510676	0	0.000226074	0	0
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000255249	4.44E-05	9.99E-05	7.77E-05	0.001542593	0	0.087350735	0	0.001498202	0.000366227	0.00055489	3.33E-05	0.000510499	0.000110978	2.22E-05	0.00045501	0.025624806	9.99E-05	0.000421716	0	2.22E-05	0.004228259	2.22E-05	8.88E-05	0.010909131	0.000155369	0	0.001498202	0.022439739	0.016502419	0	1.11E-05	0.000122076	1.11E-05	0	3.33E-05	0.001154171	7.77E-05	0.001065388	0	0.000110978	0.000166467	0.008267856	0.003762152	0.00065477	0.000133174	0.000799041	5.55E-05	0.014893239	0.132119235	0.0326941	5.55E-05	0.000743552	4.44E-05	0.000488303	5.55E-05	0.000532694	1.11E-05	0	0.018955032	0.012551605	5.55E-05	7.77E-05	0.000122076	3.33E-05
13i	Inicial	Normal	Normal	0	Inicial	0.000106849	7.12E-05	0.000160274	8.90E-05	0.0054493	0	0.026284859	3.56E-05	0.000480821	0.00019589	0.019286249	1.78E-05	0.000730135	1.78E-05	3.56E-05	0.000178082	0.005520533	5.34E-05	0.000658902	0	3.56E-05	0.004719165	7.12E-05	3.56E-05	0.001745201	8.90E-05	0	5.34E-05	0.020764327	0	0	0	0.000373972	0	1.78E-05	1.78E-05	0.002172597	1.78E-05	0.001513694	8.90E-05	0.000320547	0.000694519	0.00836984	0.009687645	0.000463012	0.004309577	0.000124657	0.000106849	0.024379385	0.0263739	0.021565694	3.56E-05	0.001086298	3.56E-05	0.000908217	0.001869858	0.010115041	5.34E-05	0.004879439	0.007532856	0.000231506	0.000142465	0.000142465	0.000979449	0.171831036
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000262628	0.000116724	0.000131314	0.000175085	0.000919198	0	0.141352243	0	0.00328285	0.003399574	0.000744113	0.013773381	0.000525256	0.000233447	0.000189676	0.000598208	0.034243777	4.38E-05	0.000291809	0	2.92E-05	0.005369284	5.84E-05	2.92E-05	0.027867752	0	7.30E-05	0.001181826	0.004012373	0.007659984	0	0	0.000160495	0	0	0	0.003516298	1.46E-05	0.000627389	0	0.000116724	0.000262628	0.015845225	0.002436605	0.001502816	0.000102133	0.001998891	0.000175085	0.020178587	0.0810937	0.057311273	7.30E-05	0.000510666	1.46E-05	0.000481485	0.000160495	7.30E-05	1.46E-05	7.30E-05	0.031136012	0.007703756	5.84E-05	0.000116724	0	0
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	9.11E-05	0.000109347	0.000109347	9.11E-05	0.001603762	9.11E-05	0.09365603	1.82E-05	0.002423867	0.009476773	0.046800678	0.00479306	0.000984126	0.000164021	5.47E-05	0.000492063	0.037232782	0.000164021	0.001585537	0.000182246	0.00020047	0.008893587	5.47E-05	9.11E-05	0.006633741	7.29E-05	0.003171074	0.000473839	0.031309799	3.64E-05	0	3.64E-05	9.11E-05	0	0	0	0.001621986	0.000145797	0.000765432	0.001950028	0.000164021	0.001621986	0.005613165	0.000947677	1.82E-05	0.000182246	0.000218695	3.64E-05	0.011754843	0.025295694	0.020138142	3.64E-05	0.000564961	7.29E-05	0.000893004	0.000164021	0.000546737	0.002296295	0.000546737	0.002679011	0.001694884	0.000127572	5.47E-05	0.027446192	0.044431485
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000145231	4.36E-05	4.36E-05	5.81E-05	0.002468921	0	0.053125363	0	0.001147322	0.004080981	0.000580923	0.013651679	0.000479261	0.000232369	0.000159754	0.000348554	0.055361915	0.000246892	0.000929476	0	2.90E-05	0.005576856	4.36E-05	0.000116185	0.007479377	0.000450215	1.45E-05	0.003180551	0.095808644	0.0238033	0	0.004080981	0	0.001466829	0	0.052965609	0.000508307	0.000174277	0.001829906	0	0.000290461	0.000203323	0.00502498	0.001248983	0.000145231	4.36E-05	0.000348554	5.81E-05	0.00967236	0.065019751	0.023890438	1.45E-05	0.006724178	0.000116185	0.000624492	0.000101661	0.003500058	1.45E-05	2.90E-05	0.003587196	0.002425351	5.81E-05	5.81E-05	0	0
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000168553	2.59E-05	0.000181519	0.000168553	0.001802222	0	0.120567376	0	0.002191191	0.003539616	0.000635316	6.48E-05	0.000531591	0.000350072	3.89E-05	0.000518625	0.032556692	0.000129656	0.000842766	0	0	0.005523358	7.78E-05	3.89E-05	0.01992817	0.000116691	3.89E-05	0.001153941	0.01868347	0.013030456	0	0.000440831	0.000285244	0.000181519	0	0.005406667	0.001465116	0	0.0016596	0	0.000168553	5.19E-05	0.01135789	0.002683885	0.001218769	0.000726075	0.001516978	6.48E-05	0.017386907	0.070169979	0.033295733	2.59E-05	0.001568841	2.59E-05	0.000752006	0.000155588	7.78E-05	0	1.30E-05	0.020796868	0.021924877	5.19E-05	0.000155588	0	2.59E-05
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	8.07E-05	2.02E-05	6.05E-05	2.02E-05	0.001634251	0	0.16296102	0	0.003793076	0.004257122	0.00074651	0.015676701	0.000685982	0.000403519	0.000141232	0.00054475	0.043398434	0.000121056	0.000907917	0	0.000121056	0.00843354	6.05E-05	6.05E-05	0.001210556	0.000161407	0	0.004479057	0.024231297	0.041158906	0	2.02E-05	0	0	0	4.04E-05	0.004559761	2.02E-05	0.002885159	0	0.000423695	8.07E-05	0.005487854	0.001250908	0.000141232	0.00010088	0.000201759	6.05E-05	0.008796707	0.022556694	0.014809136	4.04E-05	0.000564926	6.05E-05	0.000564926	0.000242111	0.000423695	0.0010895	0	0.001714954	0.001472843	2.02E-05	4.04E-05	0	2.02E-05
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000206712	4.77E-05	0.000111306	8.75E-05	0.000739392	0	0.131261975	0	0.003275587	0.009850611	0.000771194	1.59E-05	0.000659888	0.000230563	4.77E-05	0.00070759	0.025735616	0.000151059	0.000500879	0	1.59E-05	0.005644821	6.36E-05	0.000103356	0.062967586	0.000135158	3.98E-05	0.001765001	0.025393746	0.015082009	0	7.95E-06	0.000270315	0	7.95E-06	1.59E-05	0.001812703	0	0.00087455	7.95E-06	0.000310068	7.95E-05	0.006710182	0.003649258	0.001176667	7.95E-05	0.001765001	7.95E-05	0.015479532	0.065662789	0.049936794	7.95E-06	0.000755293	2.39E-05	0.000548581	6.36E-05	5.57E-05	1.59E-05	0	0.012148292	0.013324959	9.54E-05	0.000127207	0	3.18E-05
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	9.54E-05	3.18E-05	0.00020672	7.95E-05	0.001208517	0.000397538	0.020179051	4.77E-05	0.000508849	0.005342917	0.036796158	0.004357021	0.000461145	0.000127212	6.36E-05	0.000111311	0.045796429	0.000190818	0.001908185	0.000302129	0.000286228	0.006376517	6.36E-05	7.95E-05	0.004229809	0	0	6.36E-05	0.002512443	0	0	3.18E-05	0.002178511	3.18E-05	3.18E-05	0	0.0020672	0	0.000763274	0.001383434	0.000604258	0.000254425	0.007600935	0.002750966	0	0.000906388	6.36E-05	0.000747372	0.017952836	0.043172675	0.021641993	4.77E-05	0.000969994	1.59E-05	0.000747372	0.000651963	0.000365735	0.001399335	6.36E-05	0.00434112	0.003323421	6.36E-05	0.000174917	0.018032344	0.009779446
