# Constructed from biom file
#OTU ID	Inicial	DN	DAG	DN_AN	DN_AE	DAG_AN	DAG_AE	taxonomy
258395	41.0	3.0	451.0	94.0	3.0	206.0	3.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
339886	96.0	54.0	62.0	35.0	73.0	24.0	46.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
523051	139.0	202.0	572.0	122.0	382.0	468.0	497.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
277265	2.0	5.0	19.0	3.0	1.0	9.0	97.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
351734	39.0	34.0	38.0	23.0	44.0	62.0	24.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
582181	195.0	186.0	3.0	69.0	195.0	1.0	1.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma; s__
274018	62.0	47.0	974.0	50.0	307.0	1.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
274016	7.0	25.0	21.0	3.0	23.0	39.0	33.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
827522	68.0	40.0	1.0	9.0	16.0	32.0	18.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
182061	103.0	79.0	41.0	33.0	44.0	75.0	42.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
313437	2.0	0.0	52.0	1.0	0.0	38.0	171.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
575041	259.0	254.0	233.0	138.0	210.0	227.0	229.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
199307	158.0	169.0	16.0	66.0	116.0	14.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
269815	55.0	56.0	9.0	27.0	69.0	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
264193	133.0	6.0	0.0	2.0	2.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
3584772	21.0	23.0	41.0	12.0	50.0	36.0	51.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
1044611	109.0	119.0	9.0	21.0	20.0	5.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
178106	63.0	77.0	94.0	34.0	158.0	87.0	89.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
745960	13.0	18.0	43.0	8.0	18.0	15.0	27.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
588112	113.0	133.0	156.0	77.0	93.0	132.0	120.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
276509	632.0	639.0	0.0	357.0	1234.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
276052	106.0	215.0	127.0	351.0	53.0	45.0	74.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
276050	60.0	159.0	1928.0	52.0	62.0	2057.0	1632.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
348748	1.0	0.0	378.0	0.0	7.0	89.0	199.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
759378	7.0	3.0	382.0	0.0	4.0	1196.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Alkaliphilus; s__
4375017	88.0	40.0	2.0	17.0	21.0	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
172163	120.0	19.0	3.0	34.0	102.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
521982	384.0	407.0	508.0	406.0	846.0	195.0	399.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
289306	27.0	15.0	71.0	10.0	17.0	18.0	28.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4455677	274.0	183.0	20.0	120.0	387.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
278901	564.0	431.0	33.0	521.0	1126.0	6.0	12.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
176472	64.0	4.0	0.0	123.0	9.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
274597	5.0	0.0	2430.0	0.0	1.0	485.0	1223.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
539647	2.0	0.0	71.0	0.0	66.0	166.0	6.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
338926	874.0	756.0	102.0	102.0	273.0	36.0	92.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
516987	86.0	49.0	0.0	51.0	137.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
174959	505.0	803.0	19.0	283.0	500.0	6.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
344726	98.0	71.0	10.0	11.0	121.0	5.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
322466	93.0	74.0	1.0	16.0	35.0	1.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
353195	34.0	54.0	20.0	35.0	34.0	3.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
716131	11.0	23.0	66.0	5.0	9.0	47.0	41.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__; s__
416286	247.0	188.0	4.0	32.0	36.0	3.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
411254	41.0	25.0	23.0	26.0	15.0	22.0	19.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
540532	75.0	56.0	24.0	9.0	22.0	14.0	12.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
529180	125.0	37.0	53.0	15.0	42.0	25.0	26.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
527762	38.0	16.0	26.0	34.0	50.0	12.0	12.0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
191445	47.0	16.0	3.0	16.0	59.0	2.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
563228	62.0	49.0	23.0	28.0	42.0	17.0	35.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
532118	116.0	76.0	75.0	28.0	150.0	90.0	33.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
373923	55.0	67.0	50.0	66.0	72.0	35.0	28.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
1105981	81.0	80.0	60.0	96.0	89.0	115.0	51.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
208571	7.0	10.0	43.0	14.0	9.0	33.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
1105328	505.0	855.0	1045.0	393.0	441.0	598.0	479.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
