# Constructed from biom file
#OTU ID	Inicial	DN	DAG	DN_AN	DN_AE	DAG_AN	DAG_AE
k__Bacteria;p__;c__	0.0006005474114192568	0.0010092150135973096	0.0007407981845342563	0.0010350119561725972	0.0007632234471858389	0.0008257931610119074	0.0008583108678083283
k__Bacteria;p__Acidobacteria;c__BPC102	0.00019649247101736052	0.0002878633428046017	0.00041631633511016056	0.0005282129983225668	0.0004477176914594094	0.00031966186877880286	0.00046897397931795255
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.00010516498448816479	9.143894418499114e-05	2.652996253152984e-05	5.710410792676398e-05	8.413486819371453e-05	3.255815330154474e-05	3.5394262590034156e-05
k__Bacteria;p__Acidobacteria;c__Sva0725	7.748998857022669e-05	9.82121993098053e-05	5.305992506305968e-05	5.710410792676398e-05	6.911078458769407e-05	1.1839328473288996e-05	3.8343784472537e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0005590349175423497	0.0007010319054182654	0.00046733549382464105	0.0007280773760662408	0.0006790885789921244	0.0003906978396185368	0.0003893368884903757
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.002925247068526057	0.002699142167238442	0.0014652702382798788	0.001563224954495164	0.0018780104507525562	0.0022435527456882644	0.0013390829346562922
k__Bacteria;p__Bacteroidetes;c__	0.0	1.0159882687221239e-05	9.795678473180248e-05	7.138013490845498e-06	4.807706753926544e-05	6.511630660308948e-05	0.00010913230965260531
k__Bacteria;p__Bacteroidetes;c__BME43	0.0001383749795896905	9.143894418499114e-05	0.00010816061647469858	6.424212141760947e-05	6.911078458769407e-05	3.847781753818924e-05	2.9495218825028462e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.33406210822583904	0.3831630424107373	0.39274344301772196	0.4149826903172845	0.39691225033729044	0.36727964789837114	0.4198585409305152
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.005296994218693353	0.008618967146326015	0.006969217080398032	0.010128841143509761	0.008146058131184289	0.007281187011072734	0.00801974999852524
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.00039575244162651485	0.0006874853951686371	0.0005142731198419631	0.0007923194974838502	0.0005138236593258994	0.000535729613416327	0.00047782254496546114
