# Constructed from biom file
#OTU ID	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN	taxonomy
258395	1.0	84.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	20.0	2.0	0.0	22.0	16.0	2.0	1.0	0.0	0.0	71.0	0.0	1.0	137.0	138.0	34.0	58.0	1.0	11.0	4.0	67.0	78.0	47.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
339886	14.0	15.0	3.0	4.0	11.0	25.0	9.0	10.0	5.0	1.0	6.0	10.0	10.0	3.0	7.0	13.0	15.0	5.0	5.0	9.0	8.0	18.0	14.0	13.0	15.0	6.0	10.0	19.0	24.0	9.0	5.0	5.0	16.0	9.0	7.0	6.0	16.0	2.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
523051	9.0	98.0	50.0	143.0	30.0	47.0	81.0	56.0	63.0	80.0	156.0	140.0	93.0	71.0	49.0	46.0	56.0	61.0	79.0	49.0	147.0	72.0	75.0	131.0	20.0	72.0	24.0	48.0	32.0	25.0	34.0	68.0	29.0	10.0	21.0	23.0	19.0	32.0	43.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
277265	1.0	7.0	75.0	1.0	1.0	1.0	7.0	3.0	3.0	4.0	2.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	2.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
351734	8.0	6.0	6.0	32.0	10.0	17.0	4.0	7.0	11.0	11.0	0.0	3.0	8.0	9.0	5.0	4.0	6.0	3.0	6.0	6.0	3.0	3.0	5.0	10.0	7.0	4.0	11.0	8.0	1.0	10.0	6.0	0.0	10.0	0.0	7.0	1.0	3.0	0.0	13.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
582181	3.0	3.0	0.0	0.0	23.0	39.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	0.0	42.0	17.0	53.0	38.0	20.0	0.0	0.0	70.0	0.0	0.0	10.0	0.0	9.0	10.0	94.0	17.0	0.0	1.0	45.0	48.0	2.0	0.0	20.0	43.0	14.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma; s__
274018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	3.0	0.0	0.0	297.0	2.0	0.0	0.0	0.0	974.0	0.0	1.0	0.0	0.0	23.0	0.0	24.0	0.0	0.0	0.0	0.0	2.0	0.0	61.0	17.0	28.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
274016	0.0	1.0	1.0	5.0	2.0	0.0	25.0	0.0	0.0	3.0	15.0	3.0	9.0	1.0	1.0	0.0	3.0	1.0	10.0	2.0	4.0	0.0	1.0	2.0	3.0	4.0	0.0	2.0	1.0	0.0	1.0	25.0	1.0	7.0	6.0	0.0	0.0	11.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
827522	0.0	0.0	0.0	9.0	30.0	0.0	0.0	16.0	1.0	12.0	0.0	2.0	1.0	0.0	0.0	0.0	6.0	8.0	1.0	0.0	0.0	11.0	0.0	0.0	17.0	7.0	9.0	0.0	3.0	9.0	0.0	4.0	12.0	2.0	10.0	0.0	6.0	4.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
182061	26.0	9.0	6.0	30.0	13.0	11.0	7.0	6.0	2.0	3.0	8.0	2.0	2.0	2.0	7.0	9.0	10.0	9.0	3.0	16.0	2.0	6.0	5.0	1.0	12.0	20.0	22.0	9.0	6.0	17.0	17.0	3.0	18.0	1.0	12.0	19.0	28.0	8.0	30.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
313437	0.0	0.0	30.0	8.0	2.0	0.0	18.0	28.0	47.0	10.0	5.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	4.0	6.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
575041	59.0	41.0	35.0	61.0	57.0	54.0	33.0	42.0	32.0	45.0	59.0	29.0	43.0	18.0	61.0	15.0	50.0	17.0	31.0	43.0	70.0	28.0	37.0	21.0	42.0	27.0	29.0	54.0	50.0	23.0	44.0	32.0	23.0	52.0	47.0	20.0	28.0	31.0	67.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
199307	51.0	7.0	0.0	5.0	23.0	46.0	3.0	2.0	0.0	0.0	1.0	2.0	23.0	0.0	27.0	16.0	8.0	5.0	18.0	2.0	0.0	33.0	6.0	0.0	30.0	0.0	54.0	18.0	10.0	21.0	8.0	1.0	19.0	18.0	10.0	3.0	25.0	14.0	40.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
269815	20.0	1.0	0.0	3.0	14.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	33.0	0.0	7.0	0.0	0.0	3.0	21.0	0.0	0.0	18.0	5.0	3.0	4.0	0.0	13.0	7.0	1.0	13.0	0.0	0.0	9.0	6.0	6.0	1.0	7.0	5.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
264193	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	126.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
3584772	2.0	1.0	0.0	3.0	1.0	6.0	1.0	2.0	3.0	8.0	22.0	10.0	18.0	3.0	2.0	4.0	8.0	4.0	10.0	10.0	38.0	3.0	0.0	5.0	6.0	6.0	0.0	2.0	1.0	8.0	3.0	13.0	6.0	0.0	6.0	0.0	5.0	5.0	9.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
1044611	10.0	0.0	2.0	1.0	2.0	5.0	0.0	0.0	1.0	0.0	1.0	5.0	2.0	0.0	8.0	9.0	1.0	1.0	2.0	2.0	2.0	23.0	1.0	4.0	9.0	2.0	35.0	9.0	38.0	4.0	2.0	0.0	38.0	4.0	9.0	0.0	12.0	9.0	39.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
178106	17.0	11.0	22.0	19.0	0.0	49.0	15.0	5.0	16.0	11.0	8.0	25.0	11.0	20.0	11.0	55.0	15.0	21.0	7.0	26.0	9.0	15.0	33.0	0.0	15.0	7.0	18.0	17.0	14.0	6.0	22.0	8.0	10.0	5.0	16.0	13.0	7.0	11.0	12.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
745960	2.0	9.0	5.0	5.0	3.0	5.0	3.0	8.0	15.0	1.0	2.0	5.0	0.0	1.0	3.0	6.0	4.0	2.0	1.0	6.0	4.0	4.0	4.0	7.0	2.0	2.0	5.0	3.0	1.0	2.0	6.0	0.0	2.0	2.0	2.0	2.0	3.0	0.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
588112	23.0	26.0	19.0	33.0	30.0	31.0	26.0	20.0	34.0	18.0	39.0	18.0	17.0	14.0	31.0	0.0	31.0	1.0	13.0	25.0	27.0	16.0	20.0	12.0	26.0	16.0	11.0	31.0	14.0	15.0	27.0	24.0	8.0	31.0	26.0	10.0	12.0	14.0	35.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
276509	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	73.0	241.0	265.0	170.0	180.0	0.0	0.0	64.0	0.0	0.0	147.0	0.0	3.0	132.0	47.0	152.0	0.0	0.0	313.0	179.0	155.0	0.0	125.0	89.0	149.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
276052	20.0	17.0	6.0	22.0	12.0	18.0	20.0	17.0	33.0	0.0	9.0	15.0	6.0	0.0	89.0	17.0	1.0	5.0	6.0	22.0	5.0	59.0	29.0	17.0	44.0	3.0	82.0	187.0	0.0	75.0	14.0	6.0	5.0	0.0	3.0	11.0	25.0	18.0	53.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
276050	0.0	119.0	257.0	435.0	1.0	7.0	263.0	265.0	356.0	248.0	687.0	327.0	18.0	201.0	13.0	16.0	2.0	9.0	10.0	640.0	45.0	6.0	76.0	50.0	5.0	286.0	30.0	34.0	1.0	5.0	523.0	364.0	1.0	0.0	4.0	475.0	52.0	100.0	19.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
348748	0.0	56.0	71.0	5.0	0.0	0.0	1.0	59.0	105.0	3.0	17.0	13.0	5.0	9.0	0.0	0.0	0.0	0.0	2.0	6.0	4.0	0.0	80.0	114.0	0.0	10.0	0.0	0.0	0.0	0.0	56.0	6.0	1.0	0.0	0.0	51.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
759378	0.0	1.0	0.0	281.0	0.0	2.0	0.0	0.0	0.0	336.0	343.0	0.0	0.0	287.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	1.0	34.0	1.0	0.0	129.0	0.0	0.0	0.0	0.0	25.0	138.0	6.0	0.0	1.0	1.0	1.0	0.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Alkaliphilus; s__
4375017	0.0	0.0	0.0	0.0	3.0	18.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	17.0	1.0	0.0	21.0	0.0	0.0	8.0	30.0	0.0	0.0	2.0	33.0	5.0	0.0	0.0	1.0	0.0	18.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
