	8SM.DN	7DAG.SM	59DAG.SM	51SM.DN	50SM.DN	48SM.DN	39DAG.SM	33SM.DN	2SM.DN	27DAG.SM	26DAG.SM	13DAG.SM
8SM.DN	0	0.341605254	0.409059701	0.218220832	0.235192149	0.254402151	0.38827429	0.247543738	0.184440946	0.404453758	0.395073062	0.38117966
7DAG.SM	0.341605254	0	0.297348293	0.345855836	0.358934	0.351638316	0.263032507	0.38493021	0.344876634	0.282457481	0.274015707	0.262743164
59DAG.SM	0.409059701	0.297348293	0	0.353285722	0.360377663	0.362132236	0.28941235	0.383059548	0.432305243	0.37616159	0.278378219	0.296493386
51SM.DN	0.218220832	0.345855836	0.353285722	0	0.096323982	0.130182099	0.341500262	0.134192208	0.17355676	0.416764867	0.328424894	0.339086268
50SM.DN	0.235192149	0.358934	0.360377663	0.096323982	0	0.127423242	0.345145983	0.128568022	0.173428113	0.404323774	0.338484662	0.351746039
48SM.DN	0.254402151	0.351638316	0.362132236	0.130182099	0.127423242	0	0.331217155	0.136204832	0.185427072	0.405756982	0.323557797	0.326180586
39DAG.SM	0.38827429	0.263032507	0.28941235	0.341500262	0.345145983	0.331217155	0	0.369888427	0.384682968	0.286757724	0.246191419	0.251011273
33SM.DN	0.247543738	0.38493021	0.383059548	0.134192208	0.128568022	0.136204832	0.369888427	0	0.184016464	0.433572308	0.362779905	0.368615155
2SM.DN	0.184440946	0.344876634	0.432305243	0.17355676	0.173428113	0.185427072	0.384682968	0.184016464	0	0.386090327	0.383629997	0.382726473
27DAG.SM	0.404453758	0.282457481	0.37616159	0.416764867	0.404323774	0.405756982	0.286757724	0.433572308	0.386090327	0	0.322475026	0.316193128
26DAG.SM	0.395073062	0.274015707	0.278378219	0.328424894	0.338484662	0.323557797	0.246191419	0.362779905	0.383629997	0.322475026	0	0.205196071
13DAG.SM	0.38117966	0.262743164	0.296493386	0.339086268	0.351746039	0.326180586	0.251011273	0.368615155	0.382726473	0.316193128	0.205196071	0
