	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN
13i	0.0	0.345931103944	0.38711152191	0.3585709167	0.150283311953	0.241629388608	0.357107778721	0.367212867731	0.378494034206	0.363285011711	0.35958118966	0.325707614367	0.224815351601	0.394794432308	0.234293197378	0.251738347559	0.278466189224	0.26639519025	0.238583196644	0.378171125264	0.364505478795	0.217114459251	0.360525402805	0.390063789594	0.24909224933	0.357103755242	0.22534742338	0.277132561929	0.216501366209	0.24940685295	0.343827400406	0.390525871091	0.253905947954	0.27206720356	0.21653523648	0.394663533229	0.203642200314	0.256585484776	0.227745711712
13DAG.SM	0.345931103944	0.0	0.242243969209	0.244444671216	0.345626621016	0.350311362327	0.258667701443	0.236683333506	0.246094542616	0.296602132593	0.257796531729	0.22339596399	0.321978508804	0.287353053021	0.337839539137	0.309871955059	0.325584853913	0.364364343704	0.344372491867	0.251853986476	0.261621935482	0.340254342815	0.196763529562	0.259364011294	0.346811107149	0.233546764935	0.308685946552	0.375428774379	0.368467143132	0.343904546677	0.230290319912	0.286783132609	0.411230907143	0.375655460683	0.327563376643	0.256168632481	0.33976416621	0.356129899791	0.324754214436
20DAG.AE	0.38711152191	0.242243969209	0.0	0.24042164279	0.395862986182	0.382006077762	0.286108683529	0.220659082646	0.228034548044	0.266106700027	0.314917776457	0.255211794925	0.369814272509	0.294965658015	0.382696284179	0.338923414168	0.373776833467	0.402167395641	0.37688768735	0.331167350661	0.247411836035	0.374353833586	0.223653593238	0.276343560133	0.375648280269	0.249638246781	0.340239036679	0.419703398044	0.411804434965	0.382232880111	0.257285471753	0.297293665325	0.437623955606	0.410083248059	0.362189847569	0.220203422167	0.363166779353	0.384369092162	0.366255002339
26DAG.AN	0.3585709167	0.244444671216	0.24042164279	0.0	0.361176422792	0.350934770542	0.254799732272	0.238384104567	0.252237502197	0.182004459291	0.202454120867	0.233400334315	0.307086853186	0.205454984809	0.349374021207	0.339875450134	0.331816634129	0.37145828459	0.323494263453	0.281235443821	0.247345040064	0.348718555507	0.243198020208	0.318255796495	0.357800242208	0.174452384736	0.315795267407	0.372671170756	0.381733804762	0.357107712733	0.206855507565	0.204459042942	0.415118348754	0.389322565836	0.322783807752	0.231661623989	0.35792515242	0.360909906275	0.336779506546
2i	0.150283311953	0.345626621016	0.395862986182	0.361176422792	0.0	0.22920726156	0.369389591676	0.366086251002	0.396911696792	0.351203396557	0.351166111284	0.35043123079	0.211344450836	0.391543276779	0.210584854772	0.250731499982	0.252740216692	0.235139636762	0.2195791667	0.373705575006	0.385965735866	0.215047387485	0.355974516077	0.388845305174	0.219643036162	0.369760622336	0.212864497537	0.249512390813	0.216249785756	0.217453064941	0.34131613143	0.391273503869	0.236949615588	0.253781465731	0.201194999106	0.392014474775	0.182179550268	0.218701480523	0.208876865794
2DN.AE	0.241629388608	0.350311362327	0.382006077762	0.350934770542	0.22920726156	0.0	0.396579541188	0.361150851613	0.369365583588	0.37616713992	0.377219475914	0.343398187185	0.142487073572	0.405569890738	0.12705265018	0.159270581224	0.160375685284	0.156678036444	0.145522403808	0.375791791032	0.395166237893	0.151349501771	0.37546928237	0.405129226226	0.180654793245	0.371958437755	0.168018954124	0.183325104451	0.22172092647	0.147700737984	0.355260960764	0.404876033077	0.246889651123	0.259325799091	0.172815441633	0.391279185916	0.156708183921	0.15545697179	0.150428947572
34DAG.AE	0.357107778721	0.258667701443	0.286108683529	0.254799732272	0.369389591676	0.396579541188	0.0	0.229698744072	0.253898278016	0.26778192075	0.297486519538	0.239902737099	0.366641830313	0.261388118543	0.39154916074	0.360573886482	0.353277027819	0.392406446198	0.352801840409	0.326026576656	0.251268877364	0.392202456526	0.258602688055	0.284238488443	0.399983836675	0.258080007671	0.362576106171	0.426779076742	0.409997840793	0.390902108442	0.276189185898	0.280257043753	0.441857941199	0.422463471754	0.362363501283	0.255586348327	0.377870950637	0.402880978604	0.379983484632
39DAG.AE	0.367212867731	0.236683333506	0.220659082646	0.238384104567	0.366086251002	0.361150851613	0.229698744072	0.0	0.198432582153	0.247573930721	0.305395816347	0.205651301684	0.35994438783	0.282317408521	0.364168856684	0.353637998376	0.339037993205	0.38966666543	0.356160723452	0.308184146741	0.22358562414	0.363034576904	0.21658112534	0.266853947109	0.378469232958	0.223943045168	0.34843619068	0.40341415781	0.396996347943	0.366977356735	0.239055909103	0.286463146588	0.429217070243	0.397924402768	0.355558824245	0.229126659238	0.36127879956	0.380038104666	0.362027200792
39DAG.SM	0.378494034206	0.246094542616	0.228034548044	0.252237502197	0.396911696792	0.369365583588	0.253898278016	0.198432582153	0.0	0.260621575385	0.287745371274	0.20180818386	0.332543581172	0.266414167487	0.361681288118	0.336579924324	0.331192939937	0.372142790662	0.3525248604	0.288783958237	0.192698785664	0.367209679907	0.26202722042	0.254134008546	0.379961019752	0.190535469524	0.337443602652	0.393846850652	0.407749194183	0.347490699494	0.259054776199	0.259859470394	0.427318839024	0.405637120506	0.352273467745	0.227948769164	0.367271752513	0.362205172323	0.343122055439
49DAG.AN	0.363285011711	0.296602132593	0.266106700027	0.182004459291	0.351203396557	0.37616713992	0.26778192075	0.247573930721	0.260621575385	0.0	0.20687026937	0.273131386838	0.344691764099	0.179325432978	0.378873451093	0.371571047784	0.357959614328	0.388770125798	0.363493872346	0.316857428219	0.238793685364	0.385039809293	0.280703162951	0.342302056244	0.378784767276	0.184146693707	0.349282469832	0.404183533182	0.388733108231	0.367054882144	0.23943941908	0.21169641093	0.422527692451	0.417054034812	0.349672139209	0.289037114509	0.35361084119	0.379631731035	0.372515872487
