sample	group	pc1_0.481176791339	pc2_0.0749116292045	pc3_0.0550764354284	pc4_0.0480926799438	pc5_0.0374722255351	pc6_0.0303870576715	pc7_0.02736340159	pc8_0.0261323289018	pc9_0.0240798427292	pc10_0.0216154641977	pc11_0.0200033329899	pc12_0.0176371692304	pc13_0.016411577629	pc14_0.0147310772329	pc15_0.0136680423534	pc16_0.0119361972234	pc17_0.0100952842266	pc18_0.00929745580647	pc19_0.00796121175749	pc2_0.00723796656549	pc21_0.00712727152891	pc22_0.00637359532473	pc23_0.00617898532916	pc24_0.00481519205564	pc25_0.00424136414713	pc26_0.00357959594948	pc27_0.0034388644791	pc28_0.00306876760635	pc29_0.00263857776504	pc30_0.00145527163809	pc31_0.00131092676217	pc32_0.000453951046833	pc33_0.000030464811413	pc34_0	pc35_0	pc36_0	pc37_0	pc38_0	pc39_0
10DAG.AE	DAG_AE	-0.175887943	-0.084914727	0.017809174	-0.014956679	0.071494747	0.03761484	-0.046571329	-0.064665471	-0.026993647	0.042974119	0.007845249	-0.017379706	-0.036929941	-0.061226904	0.050831164	-0.030538538	0.012255883	-0.020982707	-0.027475958	-0.017900837	0.010037259	0.003628576	0.00379689	-4.09E-05	0.001231973	0.003097045	0.000924849	-0.00385531	0.014100214	-0.001268757	2.79E-05	0.002416705	-0.000114154	0	0	0	0	0	0
13DAG.SM	DAG	-0.132929685	-0.052497135	-0.058251596	-0.019472721	-0.012387264	-0.091113242	0.006778517	-0.019594906	0.052041292	-0.010112916	0.051016204	0.033947056	-0.02172683	-0.033267519	-0.063577317	-0.007723242	0.000660396	-0.007629009	-0.020764545	0.013173214	-0.002718332	0.002895039	-0.002860335	0.012901559	0.002635774	0.002078035	0.009801266	0.003634524	0.013641352	0.001158727	0.000977509	-0.000956368	-0.001341306	0	0	0	0	0	0
13i	Inicial	0.098180184	0.016507485	-0.032488917	0.141820716	-0.066716649	0.001284447	-0.032641601	0.029795244	-0.031320189	0.007697805	0.053482221	-0.018298391	-0.025232932	0.005533624	0.010471055	0.005185541	-0.007447821	-0.016833433	-0.021390249	0.003992588	0.023297821	8.27E-05	0.001828974	0.0081585	0.016448361	-0.006974955	-0.024807512	-0.001936338	-0.011924225	0.0108879	0.014826753	-0.000129661	-0.000567197	0	0	0	0	0	0
20DAG.AE	DAG_AE	-0.171314153	-0.085910221	-6.60E-05	-0.009065563	0.070931994	-0.001420336	-0.092480046	0.046849144	0.045082348	0.024193739	0.007628279	0.011215833	0.014911196	0.056119709	0.018964298	-0.017656763	-0.035260785	0.004395903	0.004726561	0.022327929	-0.002833941	-0.020057575	-0.020381742	0.006303174	-0.003413362	-0.021387773	0.010381034	-0.003895395	-0.013440626	-0.001089511	-0.007150697	0.001449957	-0.000251288	0	0	0	0	0	0
21DN.AE	DN_AE	0.101233741	-0.010891075	4.92E-02	-0.053355861	-0.050294413	-0.024459906	0.004034303	-0.039654941	-0.014127722	-0.039334292	-0.061336368	0.020048426	-0.001963444	0.006888819	-0.002507624	-0.022236589	-0.01424937	-0.045684061	0.010708402	0.015446218	0.048756015	-0.011921968	-0.024388568	-0.005941113	-0.021695151	0.005740164	-0.010704712	-0.01126223	0.007531875	0.00463712	-0.003464355	-0.002804327	-7.36E-05	0	0	0	0	0	0
26DAG.AN	DAG_AN	-0.156760747	0.067672862	0.033720969	-0.027822749	0.031232614	-0.029027244	-0.032771093	-4.14E-02	0.002046603	0.004640054	0.011282279	-0.037126768	0.003274632	0.021941336	0.028787443	0.066099101	0.01831628	-0.011174677	-0.026726459	0.018772672	-0.019286512	0.003800585	-0.004026801	-0.004067228	-0.009177476	0.010826192	0.004771772	-0.014074976	-0.004781442	0.012093294	0.005154705	-0.001300476	-0.00066665	0	0	0	0	0	0
26DAG.SM	DAG	-0.149295422	-0.082594597	-0.047605785	0.050334238	0.069103858	-0.037828943	0.021624105	-0.05567925	0.030536478	-0.054726766	-0.01804733	-0.040523145	0.017879299	0.012255988	-0.020344579	-0.019704951	-0.003816814	-0.018715219	0.0130492	-0.016966579	-0.007670251	0.004446269	-0.003420636	-0.022222269	-0.001113628	-0.005909557	-0.014452151	0.001308397	-0.006336381	-0.002521652	0.015342663	-0.00275312	0.001009494	0	0	0	0	0	0
27DAG.AE	DAG_AE	-0.188894658	-0.014067868	0.033317149	0.002538933	-0.081717903	0.081611534	-0.003062948	0.055474448	0.044460605	0.033553393	0.046677223	-0.032718261	0.009385237	0.000632664	-0.019090108	-0.011976801	0.029874368	-0.003102058	0.008952732	-0.002977035	-0.004804669	-0.020633945	-0.032136073	-0.019753233	-0.008355521	0.012892523	-0.000892241	-0.00322499	0.020613877	-0.009549824	0.00364674	-0.003483214	-8.95E-05	0	0	0	0	0	0
27DAG.SM	DAG	-0.159117812	-0.143898682	-0.048721863	0.048804947	0.00833942	-0.013293879	0.130759618	0.043064651	0.013044003	0.037379992	-0.03037265	-0.006901611	0.040105744	-0.003268609	0.033316293	0.031421892	-0.005165439	0.001275134	-0.001850817	0.01951703	0.008965317	-0.008619303	0.010281948	0.010722973	-0.003073302	0.008991932	-0.000119696	0.000171928	0.006420479	0.007912734	-0.002149397	0.003225228	8.47E-05	0	0	0	0	0	0
2DN.AE	DN_AE	0.149773679	-0.020845754	0.058434387	-0.02311053	-0.01483914	-0.018200334	-0.015772504	0.002383515	-0.017685934	-0.033553766	0.008003359	0.019629162	0.037204136	0.009174732	0.014311051	0.009294073	0.028342811	-0.011568096	-0.003613426	0.01204135	0.003624199	-0.017800067	0.005446373	0.039341879	0.031402544	-0.018301056	0.000775105	-0.010277293	0.025295905	-0.006653949	0.003600308	0.003283092	0.001222056	0	0	0	0	0	0
