	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN
13i	0.0	0.312810680475	0.347079878025	0.328993866836	0.103515809701	0.31089509598	0.359912168575	0.340711077609	0.34479064901	0.323382469324	0.364077606169	0.374116871003	0.320423312306	0.366802457244	0.25358822356	0.3557343307	0.352874308556	0.191054324497	0.325655627546	0.315644748669	0.384893682756	0.218128608973	0.325360407193	0.354663466161	0.227186204815	0.369225913594	0.245392601867	0.245845972678	0.188727270335	0.288356456519	0.330100257478	0.397009519807	0.176159893191	0.162945565084	0.270092954071	0.399263386257	0.160757223591	0.234680561295	0.27908395551
13DAG.SM	0.312810680475	0.0	0.161823244666	0.194420569123	0.347807845166	0.274320559731	0.218186208037	0.234935458686	0.1187242249	0.239675117145	0.233507120186	0.209858748802	0.26945129685	0.263937953367	0.251401064836	0.265777269493	0.339163994702	0.332665925013	0.274092497914	0.118170368883	0.280475379798	0.282502402996	0.128397700385	0.166469678612	0.29725736451	0.192692501817	0.193267391232	0.293602087653	0.375517654453	0.224646371305	0.147676192414	0.261960186203	0.364231061996	0.392506809383	0.284143183095	0.180780912417	0.310297330899	0.341181532975	0.240503220475
20DAG.AE	0.347079878025	0.161823244666	0.0	0.231353115686	0.391523847843	0.280286039108	0.211632022268	0.240061257251	0.158430072241	0.287399287429	0.228995923576	0.181627036365	0.305190203109	0.320002767405	0.266470366697	0.303921154584	0.29694393972	0.38649993093	0.300621154532	0.136769601354	0.243980946816	0.342360613401	0.0960380208607	0.11899764161	0.35915179321	0.15732746481	0.242681341899	0.30059428173	0.435388506185	0.243423894569	0.119616430855	0.329759125027	0.427763240392	0.437389305926	0.297386383667	0.191820478117	0.374558652417	0.422319187539	0.236641280205
26DAG.AN	0.328993866836	0.194420569123	0.231353115686	0.0	0.343931506041	0.247292573242	0.200312953793	0.228546409363	0.201446030474	0.139572137183	0.166549067655	0.197134843445	0.197712011297	0.19133038306	0.244174956637	0.300343875022	0.339752108855	0.369007767083	0.206736006266	0.205321992372	0.271779118006	0.331232995581	0.216244376814	0.249702071913	0.354891654229	0.16741761141	0.223536408141	0.300423825537	0.419144871406	0.257187633397	0.179259940981	0.232822500861	0.406623079016	0.350407338075	0.280931030734	0.243807795444	0.352717139993	0.333091497115	0.260727553175
2i	0.103515809701	0.347807845166	0.391523847843	0.343931506041	0.0	0.314097193346	0.383587148853	0.355232647093	0.38632943439	0.341135385192	0.372783401053	0.401653378742	0.317456051774	0.389187126639	0.26383675732	0.386077029375	0.332885325376	0.167746391964	0.329409386119	0.339633665413	0.40426602958	0.227151383713	0.358879008693	0.387818143061	0.255453418432	0.395558693905	0.255486132092	0.252033892137	0.190023341091	0.296253971236	0.358318038711	0.412855395328	0.162768564034	0.135139873078	0.28380936584	0.440688581736	0.165151788357	0.24064183891	0.287835948364
2DN.AE	0.31089509598	0.274320559731	0.280286039108	0.247292573242	0.314097193346	0.0	0.301096133529	0.248626909092	0.294124227496	0.293471778269	0.27646305288	0.235080068124	0.235585720659	0.318795193853	0.173504710981	0.291362716275	0.225574443604	0.273353111458	0.245613733458	0.226091606495	0.283793534641	0.263041650418	0.268251823023	0.323371385851	0.281106955584	0.293633434765	0.203346294756	0.187819644734	0.356984429585	0.185302806123	0.242563478621	0.319609109363	0.354952360963	0.352898086923	0.233340748894	0.338321936605	0.293048870161	0.315812222743	0.176724143809
34DAG.AE	0.359912168575	0.218186208037	0.211632022268	0.200312953793	0.383587148853	0.301096133529	0.0	0.222877363388	0.207436066567	0.230734816373	0.186221673493	0.229176264537	0.217004844979	0.18498382878	0.26249327494	0.319747420241	0.336793130329	0.370163697846	0.226349216159	0.180138053108	0.275325009063	0.316692893696	0.228431278057	0.213497087819	0.341894930515	0.183074726628	0.250208887666	0.342879595862	0.425027380657	0.24863648053	0.158112555054	0.159954978965	0.417772216119	0.354217597943	0.339430518468	0.255102016443	0.385861887934	0.290413143422	0.300847680619
39DAG.AE	0.340711077609	0.234935458686	0.240061257251	0.228546409363	0.355232647093	0.248626909092	0.222877363388	0.0	0.249899194301	0.261627340002	0.255122409176	0.229266639817	0.308123511621	0.292567464787	0.289828619672	0.38593944931	0.297250801959	0.354930562952	0.307456067517	0.176852553879	0.236526410077	0.334306256955	0.242259037115	0.272675947108	0.339726175184	0.237939652629	0.254537319477	0.302019102614	0.40017350875	0.285751383522	0.175746041368	0.234852497002	0.39652955935	0.395789152469	0.315290894621	0.314302452289	0.366782310142	0.383714206648	0.262516639273
39DAG.SM	0.34479064901	0.1187242249	0.158430072241	0.201446030474	0.38632943439	0.294124227496	0.207436066567	0.249899194301	0.0	0.259023046985	0.281092111378	0.229749773451	0.308289775375	0.275346780108	0.254900261772	0.244772810029	0.38352165523	0.365231437222	0.315003643033	0.179302430677	0.296832987794	0.28957250416	0.187358306079	0.189608889343	0.307252626922	0.19171108911	0.231725134915	0.328891656927	0.386852019073	0.230408180711	0.128921004619	0.273388418249	0.378196121865	0.413050210441	0.325423395928	0.164752331924	0.358902854482	0.369048863099	0.273859983501
49DAG.AN	0.323382469324	0.239675117145	0.287399287429	0.139572137183	0.341135385192	0.293471778269	0.230734816373	0.261627340002	0.259023046985	0.0	0.217039415688	0.262440993917	0.256714158016	0.134995916791	0.284622073911	0.319447753943	0.358999045564	0.356305526445	0.266359179615	0.256317530885	0.305707393622	0.31894090898	0.278550282003	0.301070100895	0.344236293654	0.216723094174	0.246253096566	0.338772862322	0.397188425476	0.290950666422	0.245881120905	0.256336535796	0.386059174463	0.347641982089	0.331001363787	0.293463642827	0.340985535289	0.328894707627	0.314723518832
59DAG.SM	0.364077606169	0.233507120186	0.228995923576	0.166549067655	0.372783401053	0.27646305288	0.186221673493	0.255122409176	0.281092111378	0.217039415688	0.0	0.206755205564	0.179048218863	0.197275700166	0.287344920364	0.367705856189	0.270978261621	0.390105152713	0.174374143255	0.187767823594	0.223648362704	0.367188566747	0.190369568468	0.24795328178	0.380420322307	0.182988473872	0.257348955761	0.287146180173	0.448697443633	0.295030309065	0.212602085649	0.230389228278	0.440422858763	0.362822183005	0.258141363253	0.308218426387	0.381978321477	0.319178620432	0.231647437199
7DAG.AE	0.374116871003	0.209858748802	0.181627036365	0.197134843445	0.401653378742	0.235080068124	0.229176264537	0.229266639817	0.229749773451	0.262440993917	0.206755205564	0.0	0.297651880368	0.289310167181	0.281845643033	0.339119508944	0.260062451725	0.388402624158	0.301530634547	0.150074725153	0.176824104418	0.363589029661	0.177729303977	0.224365373559	0.363924707372	0.213210653014	0.266115289092	0.282837081804	0.446641949115	0.277313241268	0.156634317584	0.307320592484	0.438900259166	0.448285285118	0.28687419342	0.266442933176	0.387649182681	0.421039334948	0.216197301563
38DN.AE	0.320423312306	0.26945129685	0.305190203109	0.197712011297	0.317456051774	0.235585720659	0.217004844979	0.308123511621	0.308289775375	0.256714158016	0.179048218863	0.297651880368	0.0	0.217700780385	0.217707398934	0.304834780176	0.298657781016	0.327726983035	0.0305229689211	0.250954100483	0.306278959116	0.299501619371	0.280288123286	0.309364865171	0.330486323509	0.261299503926	0.202685484893	0.26636883148	0.399757242191	0.255320927301	0.271789302585	0.218588831792	0.389476451946	0.308215217451	0.245287187312	0.349363583994	0.333594468354	0.233163697625	0.232221294204
46DAG.AN	0.366802457244	0.263937953367	0.320002767405	0.19133038306	0.389187126639	0.318795193853	0.18498382878	0.292567464787	0.275346780108	0.134995916791	0.197275700166	0.289310167181	0.217700780385	0.0	0.316308195704	0.328968320054	0.385164998453	0.366949785043	0.230945361803	0.275869326875	0.322101255734	0.318347359117	0.317575687538	0.33068159244	0.333255768429	0.259523749575	0.283488809619	0.374135495481	0.401526719288	0.316735385198	0.262278318434	0.152514858124	0.397805420761	0.359482364778	0.363526159222	0.315953729785	0.378192875887	0.277583932867	0.348452261055
48DN.AN	0.25358822356	0.251401064836	0.266470366697	0.244174956637	0.26383675732	0.173504710981	0.26249327494	0.289828619672	0.254900261772	0.284622073911	0.287344920364	0.281845643033	0.217707398934	0.316308195704	0.0	0.264710466159	0.237063135959	0.216512140683	0.229969676212	0.228944283219	0.296065775695	0.182885631228	0.257898908401	0.270637302187	0.220254116701	0.259465314312	0.183104750086	0.140445325751	0.320889397772	0.163139558774	0.227434257115	0.332554352564	0.309215104389	0.306421118158	0.262297942798	0.313942866822	0.235437819055	0.269242745156	0.200663107707
8DN.AE	0.3557343307	0.265777269493	0.303921154584	0.300343875022	0.386077029375	0.291362716275	0.319747420241	0.38593944931	0.244772810029	0.319447753943	0.367705856189	0.339119508944	0.304834780176	0.328968320054	0.264710466159	0.0	0.424115409854	0.337767747845	0.318935118429	0.292370769188	0.409349555324	0.231894528055	0.309669568414	0.290708513414	0.264378703388	0.256837039155	0.23788948838	0.3458981187	0.339017006133	0.233368057531	0.2867363957	0.347372783672	0.347954933552	0.419979835131	0.34570355166	0.226996827249	0.347004507072	0.331305550033	0.31538873616
21DN.AE	0.352874308556	0.339163994702	0.29694393972	0.339752108855	0.332885325376	0.225574443604	0.336793130329	0.297250801959	0.38352165523	0.358999045564	0.270978261621	0.260062451725	0.298657781016	0.385164998453	0.237063135959	0.424115409854	0.0	0.308419625701	0.301725760858	0.26317761312	0.191993496828	0.305252416586	0.269387363438	0.327975626592	0.326633289612	0.325602507765	0.278974256591	0.208694902517	0.390775660607	0.28767780189	0.292735105188	0.394133666525	0.392725893777	0.366564840862	0.241305770315	0.429999107115	0.356189851048	0.349255069418	0.201639191529
