sample	group	pc1_0.279015942577	pc2_0.152385555478	pc3_0.115418002301	pc4_0.106779956776	pc5_0.094334522836	pc6_0.0711698367856	pc7_0.0535142911662	pc8_0.0447574615166	pc9_0.0319325569977	pc10_0.029490213233	pc11_0.0212016603319	pc12_0
10DAG.AE	DAG_AE	-0.10759577	0.006929279	-0.096011456	-0.065225689	0.06989263	-0.015134774	0.03273163	0.009062219	0.042230303	0.006876234	0.00913951	0
20DAG.AE	DAG_AE	-0.148505546	0.070649705	0.005115035	-0.049661132	-0.069024979	-0.004174356	-0.00225838	-0.054843436	-0.03388596	-0.016416745	-0.005640598	0
26DAG.AN	DAG_AN	0.047664192	0.047856838	-0.003275095	-0.010192375	-0.034434906	-0.060154005	-0.070017014	0.024582247	0.034272974	0.007167697	-0.038103229	0
27DAG.AE	DAG_AE	-0.057082644	-0.041817002	0.037424838	0.060020352	-0.095161753	-0.014305974	0.034502867	0.017839236	0.033247907	0.029087355	0.028830955	0
34DAG.AE	DAG_AE	-0.046132349	-0.032420418	-0.088407927	0.114933166	0.023751592	0.026750279	-0.05607474	-0.015409549	-0.01850767	-0.001351486	0.007878034	0
39DAG.AE	DAG_AE	-0.036454324	-0.116860802	0.039081898	-0.072348941	-0.00479648	0.081200791	-0.030390161	0.028104697	-0.007280171	0.009314448	-0.015086298	0
3DAG.AN	DAG_AN	0.067859544	0.017201385	-0.01624376	-0.01465078	-0.022931635	-0.003581695	0.004333224	0.054856244	-0.013587996	-0.06878165	0.028189287	0
46DAG.AN	DAG_AN	0.120314711	-0.053438988	-0.05953398	-0.023458249	-0.015441249	-0.048578727	0.040063695	-0.001259038	-0.051905652	0.033431007	-0.010598611	0
49DAG.AN	DAG_AN	0.12719575	-0.05151317	0.035352954	-0.023149965	0.020604774	-0.007121051	-0.014272159	-0.078710353	0.031655031	-0.015868104	0.021182057	0
54DAG.AN	DAG_AN	0.013488798	0.099278843	0.071792901	-0.0099882	0.064454536	0.002468542	-0.025012527	0.018409906	-0.024452904	0.039772565	0.033549906	0
59DAG.AN	DAG_AN	0.090241949	0.093851045	-0.011341121	0.035558157	-0.007428924	0.086724931	0.049433087	-0.006225861	0.016809734	0.002329815	-0.028382838	0
7DAG.AE	DAG_AE	-0.07099431	-0.039716716	0.086045713	0.058163656	0.070516395	-0.04409396	0.036960479	0.003593687	-0.008595597	-0.025561135	-0.030958175	0
