	7DAG.SM	7DAG.AE	59DAG.SM	59DAG.AN	54DAG.AN	49DAG.AN	46DAG.AN	3DAG.AN	39DAG.SM	39DAG.AE	34DAG.AE	27DAG.SM	27DAG.AE	26DAG.SM	26DAG.AN	20DAG.AE	13DAG.SM	10DAG.AE
7DAG.SM	0	0.172792093	0.187501582	0.203045638	0.199467872	0.239235332	0.217364596	0.198303564	0.200999232	0.189105618	0.194807049	0.185473218	0.236725167	0.181125786	0.188542243	0.225378162	0.141174236	0.232370933
7DAG.AE	0.172792093	0	0.185396515	0.217323086	0.17453572	0.236168097	0.210675387	0.178805938	0.180878224	0.174864892	0.172303614	0.205698107	0.174878389	0.206465197	0.174579066	0.202918606	0.171799352	0.210175356
59DAG.SM	0.187501582	0.185396515	0	0.176492308	0.159579127	0.185954482	0.159212006	0.158649769	0.202342728	0.21069462	0.180995979	0.236545455	0.197015716	0.188330982	0.12597769	0.217403475	0.173465221	0.237036168
59DAG.AN	0.203045638	0.217323086	0.176492308	0	0.167273494	0.187606091	0.172593488	0.155058376	0.206944528	0.215949717	0.198638518	0.243986783	0.19827384	0.215332021	0.151429029	0.238350456	0.190585424	0.227737041
54DAG.AN	0.199467872	0.17453572	0.159579127	0.167273494	0	0.201981789	0.185130877	0.168546937	0.21152441	0.205324043	0.187424529	0.21032384	0.199120389	0.193123411	0.132984266	0.197880519	0.182953314	0.24653962
49DAG.AN	0.239235332	0.236168097	0.185954482	0.187606091	0.201981789	0	0.147687388	0.161562893	0.241508947	0.203966041	0.224537398	0.25029516	0.202223186	0.220533105	0.159576221	0.220984037	0.23652805	0.245401467
46DAG.AN	0.217364596	0.210675387	0.159212006	0.172593488	0.185130877	0.147687388	0	0.137020031	0.211288264	0.208200707	0.196066774	0.227885246	0.179378392	0.196417281	0.131919152	0.208634617	0.193887568	0.225269128
3DAG.AN	0.198303564	0.178805938	0.158649769	0.155058376	0.168546937	0.161562893	0.137020031	0	0.164441837	0.189671371	0.174156535	0.197542342	0.163042119	0.176644595	0.129821053	0.174603374	0.177170006	0.199499253
39DAG.SM	0.200999232	0.180878224	0.202342728	0.206944528	0.21152441	0.241508947	0.211288264	0.164441837	0	0.167465188	0.197953243	0.205623322	0.165468552	0.202529127	0.19976279	0.1618275	0.193050326	0.20939413
39DAG.AE	0.189105618	0.174864892	0.21069462	0.215949717	0.205324043	0.203966041	0.208200707	0.189671371	0.167465188	0	0.175770771	0.197650496	0.171041695	0.183868844	0.175895649	0.17163106	0.185947531	0.187240361
34DAG.AE	0.194807049	0.172303614	0.180995979	0.198638518	0.187424529	0.224537398	0.196066774	0.174156535	0.197953243	0.175770771	0	0.202165954	0.184741	0.198024475	0.161057411	0.197411409	0.154271511	0.201948289
27DAG.SM	0.185473218	0.205698107	0.236545455	0.243986783	0.21032384	0.25029516	0.227885246	0.197542342	0.205623322	0.197650496	0.202165954	0	0.194337501	0.1656052	0.201543902	0.196800901	0.149730919	0.246523542
27DAG.AE	0.236725167	0.174878389	0.197015716	0.19827384	0.199120389	0.202223186	0.179378392	0.163042119	0.165468552	0.171041695	0.184741	0.194337501	0	0.227228223	0.185910407	0.177218501	0.197134148	0.216979142
26DAG.SM	0.181125786	0.206465197	0.188330982	0.215332021	0.193123411	0.220533105	0.196417281	0.176644595	0.202529127	0.183868844	0.198024475	0.1656052	0.227228223	0	0.161515879	0.183508781	0.138129987	0.207746978
26DAG.AN	0.188542243	0.174579066	0.12597769	0.151429029	0.132984266	0.159576221	0.131919152	0.129821053	0.19976279	0.175895649	0.161057411	0.201543902	0.185910407	0.161515879	0	0.18897055	0.169517359	0.196610005
20DAG.AE	0.225378162	0.202918606	0.217403475	0.238350456	0.197880519	0.220984037	0.208634617	0.174603374	0.1618275	0.17163106	0.197411409	0.196800901	0.177218501	0.183508781	0.18897055	0	0.206431396	0.17635735
13DAG.SM	0.141174236	0.171799352	0.173465221	0.190585424	0.182953314	0.23652805	0.193887568	0.177170006	0.193050326	0.185947531	0.154271511	0.149730919	0.197134148	0.138129987	0.169517359	0.206431396	0	0.212946131
10DAG.AE	0.232370933	0.210175356	0.237036168	0.227737041	0.24653962	0.245401467	0.225269128	0.199499253	0.20939413	0.187240361	0.201948289	0.246523542	0.216979142	0.207746978	0.196610005	0.17635735	0.212946131	0
